Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/07/2023,07/09/2023,FIV*BLACKHAWK BBQ,Food & Drink,Sale,-10.30,
07/07/2023,07/09/2023,SQ *CHICAGO SPECIAL EVENT,Entertainment,Sale,-9.28,
07/07/2023,07/09/2023,DIVERSEY HARBOR,Gifts & Donations,Sale,-5.00,
07/07/2023,07/09/2023,SQ *CHICAGO SPECIAL EVENT,Entertainment,Sale,-8.00,
07/07/2023,07/09/2023,DIVERSEY HARBOR,Gifts & Donations,Sale,-5.00,
07/06/2023,07/07/2023,SQ *JMA SALON,Personal,Sale,-40.00,
07/06/2023,07/07/2023,MARIANOS 538,Groceries,Sale,-22.51,
07/07/2023,07/07/2023,JEWELERS-MUTUAL-PMNT,Bills & Utilities,Sale,-487.00,
07/03/2023,07/06/2023,ILLINI UNION BOOKSTORE,Education,Sale,-104.72,
07/05/2023,07/06/2023,DD *LAOSZECHUAN,Food & Drink,Sale,-2.49,
07/04/2023,07/05/2023,VENTRA ACCOUNT,Travel,Sale,-2.50,
07/03/2023,07/04/2023,XSPORT LAKEVIEW-CKFR,Health & Wellness,Sale,-49.95,
07/03/2023,07/04/2023,PARROTS BAR &amp; GRILL,Food & Drink,Sale,-10.22,
06/29/2023,07/02/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-3.30,
06/30/2023,07/02/2023,PARROTS BAR &amp; GRILL,Food & Drink,Sale,-9.82,
06/28/2023,06/30/2023,NICK'S BILLIARDS,Entertainment,Sale,-9.30,
06/29/2023,06/30/2023,GEICO  *AUTO,Bills & Utilities,Sale,-116.75,
06/26/2023,06/28/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-11.39,
06/26/2023,06/27/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-10.11,
06/26/2023,06/27/2023,TST* INTELLIGENTSIA - BRO,Food & Drink,Sale,-4.43,
06/27/2023,06/27/2023,AMA LA VIDA,Professional Services,Sale,-9.99,
06/26/2023,06/27/2023,TST* SURGE COFFEE BAR &amp; B,Food & Drink,Sale,-14.72,
06/24/2023,06/26/2023,LAKEVIEW BEER WINE SPIRIT,Food & Drink,Sale,-3.96,
06/25/2023,06/26/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-9.91,
06/24/2023,06/26/2023,Touchtunes.helpshift.com,Entertainment,Sale,-14.00,
06/24/2023,06/26/2023,SHERATON,Travel,Sale,-1510.42,
06/22/2023,06/25/2023,DUBH LINN BREW PUB,Food & Drink,Sale,-8.50,
